order_id,region,product,customer_age,units,unit_price,revenue,churned
1001,South,Doohickey,37,3,12.84,20.04,1
1002,East,Gizmo,47,6,38.83,233.41,0
1003,East,Doohickey,45,9,30.81,273.52,0
1004,South,Gizmo,25,3,,67.52,1
1005,West,Gizmo,30,3,19.72,64.78,0
1006,South,Doohickey,39,11,27.7,1834.86,1
1007,North,Widget,28,3,12.71,44.21,1
1008,North,Doohickey,42,12,36.87,,0
1009,West,Doohickey,25,3,18.57,59.95,1
1010,North,Gizmo,31,2,15.79,25.94,1
1011,West,Gizmo,46,9,21.25,189.81,0
1012,South,Gizmo,56,60,36.83,333.04,0
1013,North,Gadget,46,9,35.43,325.43,0
1014,South,Doohickey,52,7,37.48,259.21,0
1015,East,Widget,42,9,44.7,406.47,0
1016,South,Gadget,47,9,22.62,201.45,1
1017,West,Gizmo,42,14,31.45,439.36,0
1018,East,Doohickey,29,3,15.16,52.12,1
1019,South,Gadget,53,7,25.51,162.63,1
1020,East,Gadget,28,3,,33.7,0
1021,West,Widget,51,6,37.21,211.4,0
1022,South,Widget,31,3,15.46,27.71,0
1023,North,Widget,22,3,19.41,52.8,1
1024,South,Widget,39,11,39.88,2223.4,1
1025,West,Doohickey,48,8,41.41,329.0,0
1026,North,Doohickey,45,8,36.4,292.78,1
1027,West,Doohickey,27,5,15.89,88.16,1
1028,East,Widget,48,9,36.62,340.2,0
1029,East,Widget,58,7,29.82,208.19,0
1030,South,Gadget,32,3,15.98,58.77,0
1031,West,Gizmo,21,4,20.18,81.46,0
1032,North,Gadget,27,3,10.4,,1
1033,South,Gadget,29,3,17.59,48.01,1
1034,South,Widget,56,6,28.65,160.06,0
1035,South,Gizmo,53,13,34.25,438.14,0
1036,South,Gadget,31,5,11.84,56.34,0
1037,North,Widget,57,7,30.54,220.21,0
1038,North,Gizmo,41,13,30.07,404.68,0
1039,North,Doohickey,31,2,16.75,22.44,1
1040,East,Widget,42,7,40.07,283.63,0
1041,South,Gadget,23,5,18.53,84.33,0
1042,East,Doohickey,40,10,42.97,433.5,0
1043,East,Gizmo,52,12,40.14,480.63,0
1044,East,Doohickey,30,4,16.32,50.63,0
1045,East,Gadget,29,2,17.48,,0
1046,East,Gadget,42,11,48.97,533.83,0
1047,East,Gizmo,26,4,15.2,56.53,0
1048,East,Widget,53,8,22.98,1226.96,0
1049,East,Widget,60,9,44.63,396.44,0
1050,South,Gizmo,65,6,32.25,196.92,0
1051,North,Gizmo,50,9,35.65,319.34,0
1052,West,Widget,25,4,14.43,60.35,0
1053,South,Gizmo,27,3,18.51,58.43,0
1054,East,Gadget,26,4,17.25,79.57,1
1055,North,Gizmo,23,1,20.46,17.72,1
1056,South,Doohickey,30,3,17.19,39.76,0
1057,East,Widget,44,9,37.64,347.3,0
1058,East,Doohickey,28,2,14.8,26.95,1
1059,East,Gadget,54,9,36.66,338.86,0
1060,South,Doohickey,49,9,26.52,241.75,1
