order_id,region,product,customer_age,units,unit_price,revenue,churned
1,East,Widget,21,4,12.79,51.2,0
2,West,Widget,48,10,40.13,400.19,0
3,South,Gadget,59,8,36.37,289.55,0
4,North,Gizmo,36,2,13.66,30.1,1
5,North,Gadget,29,4,15.8,63.99,0
6,South,Widget,45,10,34.12,347.96,0
7,South,Gadget,29,3,12.02,31.06,1
8,East,Doohickey,41,6,39.32,239.51,0
9,North,Gizmo,32,4,15.38,63.58,1
10,East,Doohickey,22,3,12.92,26.62,1
11,East,Doohickey,58,5,36.93,178.65,0
12,North,Doohickey,49,11,26.23,296.26,0
13,South,Widget,48,13,31.6,415.79,0
14,West,Gadget,49,9,34.89,304.91,0
15,South,Doohickey,55,7,41.47,290.11,0
16,West,Doohickey,43,11,30.41,327.98,0
17,East,Widget,51,7,33.17,238.32,0
18,East,Widget,33,4,13.13,57.92,0
19,West,Widget,50,7,38.09,251.92,0
20,East,Gizmo,28,3,13.3,42.14,1
21,South,Gadget,46,11,31.01,338.25,0
22,North,Gadget,32,3,13.08,39.29,1
23,East,Gadget,26,4,9.25,46.25,0
24,South,Widget,56,6,38.77,234.04,0
25,North,Widget,49,8,38.67,304.11,0
26,West,Gizmo,45,9,39.58,357.92,1
27,West,Gadget,26,2,15.11,38.95,1
28,West,Gizmo,44,9,32.68,293.68,0
29,East,Doohickey,48,9,50.55,450.09,0
30,East,Gizmo,31,1,13.99,14.2,0
31,South,Doohickey,28,1,17.96,3.75,0
32,North,Widget,28,3,17.81,53.93,1
33,West,Doohickey,28,3,15.72,43.7,0
34,West,Gadget,51,10,34.86,344.74,0
35,East,Doohickey,52,14,41.1,569.22,0
36,East,Widget,26,3,12.01,26.76,0
37,North,Gadget,41,10,29.0,296.53,0
38,North,Gizmo,60,11,36.94,399.13,0
39,West,Gadget,34,3,16.09,51.3,0
40,South,Gadget,46,10,30.64,315.46,0
41,West,Gadget,23,4,16.43,44.9,1
42,North,Gadget,44,9,31.76,281.17,0
43,South,Gizmo,37,5,31.92,168.29,0
44,South,Gadget,34,2,18.46,37.01,0
45,North,Widget,30,3,14.25,44.38,1
46,North,Gadget,45,7,32.01,233.87,1
47,North,Widget,29,4,17.37,64.0,1
48,East,Gizmo,39,9,28.17,256.91,1
49,South,Gadget,45,11,33.58,366.31,0
50,West,Gizmo,55,12,32.24,384.72,0
51,West,Gizmo,44,10,34.52,326.38,0
52,South,Gadget,25,1,17.93,10.01,1
53,East,Gizmo,23,2,12.67,16.07,0
54,East,Gizmo,33,3,8.9,28.64,1
55,West,Doohickey,32,3,12.52,48.32,0
56,North,Doohickey,27,4,14.84,62.72,1
57,North,Doohickey,48,7,32.63,228.28,1
58,West,Gizmo,30,4,17.77,81.44,0
59,North,Doohickey,56,9,46.42,430.22,0
60,North,Widget,44,9,42.75,378.02,0
61,West,Gizmo,45,12,32.37,391.26,1
62,South,Gizmo,58,8,30.49,241.51,0
63,North,Doohickey,26,3,19.57,55.6,1
64,North,Doohickey,45,10,34.59,347.68,0
65,West,Gizmo,31,2,13.44,31.66,1
66,North,Doohickey,25,3,10.61,49.48,1
67,South,Gizmo,54,9,31.35,290.98,0
68,South,Gadget,31,4,19.05,72.33,1
69,West,Doohickey,20,3,9.8,26.86,0
70,North,Widget,24,2,16.53,33.8,0
71,East,Gizmo,45,8,33.96,278.91,0
72,West,Widget,20,3,11.07,31.12,0
73,South,Gizmo,21,5,17.43,92.09,1
74,North,Gadget,27,2,15.17,37.76,0
75,South,Gizmo,50,12,28.92,363.25,0
76,East,Doohickey,30,5,19.58,101.33,1
77,West,Doohickey,34,5,13.03,66.49,0
78,North,Gadget,28,2,14.65,25.41,0
79,West,Doohickey,48,8,34.01,269.83,0
80,North,Widget,46,9,32.94,306.32,1
81,South,Gizmo,59,9,24.36,221.71,0
82,North,Doohickey,31,1,15.87,16.79,1
83,North,Gadget,31,3,14.17,25.59,1
84,North,Gadget,46,10,43.44,420.25,0
85,West,Gizmo,47,12,41.02,490.89,0
86,West,Widget,44,10,36.41,368.32,0
87,West,Gadget,28,4,18.96,83.29,0
88,East,Gadget,33,3,15.42,55.98,1
89,East,Gizmo,57,10,42.45,424.9,0
90,North,Widget,45,11,32.08,348.44,1
91,South,Gadget,26,5,13.86,61.62,1
92,West,Gizmo,44,10,33.9,344.53,0
93,West,Doohickey,49,13,33.42,436.9,1
94,North,Gadget,27,2,13.96,18.02,0
95,South,Doohickey,43,9,38.75,343.11,1
96,East,Doohickey,30,2,17.21,41.22,0
97,West,Gadget,33,4,6.78,29.07,0
98,South,Gadget,41,9,36.54,339.59,0
99,North,Gizmo,35,11,40.4,440.09,0
100,West,Gizmo,31,3,17.94,53.94,0
101,West,Widget,47,6,30.32,190.64,0
102,North,Gadget,30,4,10.36,34.8,0
