month,bookings,marketing_spend,region
2020-01-01,1339,210,West
2020-02-01,1317,253,West
2020-03-01,1587,306,East
2020-04-01,1510,302,North
2020-05-01,1548,277,East
2020-06-01,1339,235,East
2020-07-01,1203,225,East
2020-08-01,1207,267,North
2020-09-01,1205,253,West
2020-10-01,1181,269,North
2020-11-01,1260,244,South
2020-12-01,1220,260,North
2021-01-01,1405,298,West
2021-02-01,1554,232,West
2021-03-01,1699,266,East
2021-04-01,1831,355,East
2021-05-01,1724,391,North
2021-06-01,1714,305,West
2021-07-01,1587,300,North
2021-08-01,1381,275,South
2021-09-01,1431,308,South
2021-10-01,1381,234,West
2021-11-01,1384,239,East
2021-12-01,1470,291,East
2022-01-01,1621,258,South
2022-02-01,1760,224,West
2022-03-01,1965,369,South
2022-04-01,1877,334,South
2022-05-01,1925,378,East
2022-06-01,1904,320,East
2022-07-01,1836,293,East
2022-08-01,1646,300,North
2022-09-01,1606,293,West
2022-10-01,1613,280,North
2022-11-01,1551,282,South
2022-12-01,1827,390,East
2023-01-01,1999,427,North
2023-02-01,2050,377,North
2023-03-01,2257,323,West
2023-04-01,2250,373,North
2023-05-01,2217,445,West
2023-06-01,2187,434,West
2023-07-01,2059,432,South
2023-08-01,2007,361,East
2023-09-01,1797,302,North
2023-10-01,1803,296,North
2023-11-01,1919,364,West
2023-12-01,1968,331,East
2024-01-01,2231,450,North
2024-02-01,2283,395,South
2024-03-01,2441,432,North
2024-04-01,2450,419,West
2024-05-01,2414,455,North
2024-06-01,2423,427,East
2024-07-01,2232,384,North
2024-08-01,2046,375,East
2024-09-01,2051,362,North
2024-10-01,2080,342,South
2024-11-01,2012,243,South
2024-12-01,2220,433,North
2025-01-01,2392,399,East
2025-02-01,2434,553,South
2025-03-01,2572,355,West
2025-04-01,2635,472,South
2025-05-01,2612,483,South
2025-06-01,2606,531,West
2025-07-01,2459,541,East
2025-08-01,2392,385,South
2025-09-01,2307,328,East
2025-10-01,2193,368,West
2025-11-01,2297,419,West
2025-12-01,2501,477,North
