customer_id,industry,region,tier,seats,tenure_months,engagement_score,support_tickets,mrr,churned
5001,Education,APAC,Growth,18,4,74.4,4.0,468.52,0
5002,Retail,APAC,Enterprise,77,40,91.1,7.0,3021.96,0
5003,Finance,LATAM,Growth,21,31,59.3,2.0,606.07,0
5004,Healthcare,NA,Starter,3,12,34.3,1.0,458.37,0
5005,Finance,EMEA,Starter,4,10,38.7,1.0,,0
5006,Retail,LATAM,Enterprise,78,5,,5.0,3105.34,0
5007,SaaS,EMEA,Starter,4,16,30.6,1.0,44.35,1
5008,Education,LATAM,Growth,21,28,49.2,2.0,547.45,0
5009,SaaS,NA,Growth,18,15,56.3,4.0,466.86,0
5010,Retail,NA,Starter,6,24,7.9,1.0,20.0,0
5011,SaaS,NA,Starter,3,30,31.0,0.0,66.37,0
5012,SaaS,LATAM,Starter,2,23,45.8,2.0,143.53,0
5013,Finance,APAC,Starter,5,12,39.6,1.0,20.0,0
5014,SaaS,APAC,Starter,6,37,27.8,3.0,112.79,0
5015,Retail,NA,Growth,17,34,48.9,4.0,440.14,0
5016,Retail,NA,Growth,17,22,57.9,5.0,420.42,0
5017,Retail,LATAM,Enterprise,50,9,87.9,3.0,2056.28,0
5018,Education,LATAM,Growth,10,24,62.7,3.0,201.46,0
5019,SaaS,NA,Growth,17,17,61.2,1.0,431.68,0
5020,Retail,EMEA,Enterprise,57,23,77.8,6.0,2340.08,0
5021,Finance,APAC,Starter,4,6,55.4,2.0,39.92,1
5022,Healthcare,APAC,Starter,3,22,48.6,0.0,20.0,0
5023,Healthcare,NA,Growth,21,3,54.8,45.0,529.72,0
5024,Education,LATAM,Starter,3,20,38.6,2.0,20.0,1
5025,Retail,APAC,Starter,4,33,44.4,3.0,111.57,0
5026,SaaS,APAC,Growth,15,8,53.3,4.0,337.73,0
5027,Education,EMEA,Starter,2,7,34.5,1.0,59.88,0
5028,Retail,NA,Enterprise,56,14,76.3,4.0,2188.53,0
5029,Retail,LATAM,Growth,13,43,66.1,0.0,352.5,0
5030,Education,LATAM,Growth,20,13,74.0,,495.69,0
5031,Finance,LATAM,Starter,4,45,34.4,2.0,20.0,0
5032,SaaS,APAC,Starter,3,12,,1.0,35.75,1
5033,Education,EMEA,Starter,3,3,51.1,1.0,20.0,0
5034,Education,LATAM,Starter,5,37,34.6,2.0,41.73,0
5035,SaaS,NA,Growth,20,6,65.4,3.0,563.26,0
5036,Education,EMEA,Starter,4,6,,2.0,20.0,0
5037,SaaS,EMEA,Starter,4,26,32.8,0.0,20.0,1
5038,SaaS,LATAM,Starter,6,10,32.6,1.0,131.24,0
5039,Finance,EMEA,Growth,13,29,45.0,1.0,329.77,0
5040,Healthcare,LATAM,Starter,5,25,47.5,0.0,123.39,0
5041,Healthcare,EMEA,Starter,3,34,16.9,0.0,49.3,0
5042,Healthcare,EMEA,Enterprise,96,15,85.3,6.0,3803.72,0
5043,Retail,EMEA,Growth,21,14,75.9,3.0,522.27,0
5044,Finance,EMEA,Growth,28,12,58.0,7.0,750.57,0
5045,Retail,LATAM,Growth,17,36,44.7,2.0,463.7,0
5046,Retail,EMEA,Growth,15,18,52.4,4.0,375.04,0
5047,Healthcare,EMEA,Starter,5,41,40.9,3.0,62.01,0
5048,Retail,NA,Growth,18,24,47.8,2.0,1781.48,0
5049,SaaS,APAC,Growth,25,38,64.4,0.0,,0
5050,Retail,NA,Enterprise,101,32,82.2,4.0,4119.44,0
5051,Education,EMEA,Starter,6,33,32.1,0.0,72.3,0
5052,Retail,EMEA,Growth,14,46,67.0,1.0,303.48,0
5053,Retail,EMEA,Starter,5,22,24.1,2.0,40.38,0
5054,SaaS,NA,Starter,5,41,24.8,1.0,89.87,0
5055,SaaS,EMEA,Starter,5,39,37.5,0.0,86.38,1
5056,Education,LATAM,Starter,7,21,26.6,1.0,78.36,1
5057,Healthcare,APAC,Growth,19,33,60.4,1.0,447.51,0
5058,Education,EMEA,Starter,2,22,38.1,1.0,24.98,0
5059,Education,LATAM,Enterprise,42,32,75.4,6.0,1611.17,0
5060,Retail,APAC,Growth,19,20,63.9,2.0,421.46,1
5061,Healthcare,APAC,Growth,18,24,64.1,2.0,482.86,0
5062,Finance,EMEA,Growth,21,12,45.4,5.0,505.29,0
5063,Finance,APAC,Growth,27,30,58.4,2.0,690.42,0
5064,Healthcare,EMEA,Starter,2,45,29.7,1.0,74.1,0
5065,SaaS,NA,Starter,1,17,49.5,0.0,38.72,0
5066,Retail,LATAM,Starter,4,4,61.9,0.0,48.85,0
5067,Retail,APAC,Starter,4,34,59.0,1.0,135.52,0
5068,Retail,EMEA,Starter,4,10,35.8,2.0,75.46,1
5069,Healthcare,APAC,Enterprise,77,33,81.4,7.0,3065.42,0
5070,Education,APAC,Starter,3,32,53.4,4.0,66.11,0
5071,SaaS,LATAM,Growth,22,45,57.2,2.0,566.77,0
5072,Retail,EMEA,Starter,4,28,,2.0,20.0,0
5073,Retail,LATAM,Enterprise,65,6,90.2,4.0,2603.0,0
5074,Healthcare,APAC,Growth,16,14,60.9,,393.22,0
5075,Education,EMEA,Starter,5,13,25.1,2.0,20.0,0
5076,Education,LATAM,Growth,21,45,65.5,2.0,517.91,0
5077,Healthcare,LATAM,Enterprise,500,41,89.7,3.0,3108.36,0
5078,Retail,EMEA,Enterprise,85,20,80.2,4.0,3381.97,0
5079,Retail,NA,Growth,14,42,69.8,3.0,282.36,0
5080,Education,APAC,Starter,3,29,33.3,1.0,21.41,0
5081,SaaS,NA,Starter,3,15,37.6,2.0,34.37,0
5082,SaaS,APAC,Enterprise,75,5,74.7,5.0,3004.19,0
5083,SaaS,APAC,Growth,12,43,51.6,,253.31,0
5084,Finance,NA,Starter,5,42,41.0,1.0,86.01,1
5085,Education,EMEA,Enterprise,80,36,86.0,3.0,3150.01,0
5086,Education,LATAM,Growth,24,5,55.2,1.0,590.8,0
5087,Retail,NA,Growth,23,27,59.7,1.0,628.67,0
5088,Education,EMEA,Starter,5,19,48.6,1.0,31.53,0
5089,SaaS,APAC,Starter,4,33,34.7,1.0,27.0,0
5090,Education,NA,Starter,4,42,26.1,0.0,92.13,0
5091,Healthcare,EMEA,Starter,2,26,30.8,1.0,20.0,0
5092,Finance,LATAM,Enterprise,82,45,90.5,5.0,3267.79,0
5093,SaaS,EMEA,Starter,5,10,43.4,1.0,69.09,1
5094,Education,LATAM,Growth,12,43,61.5,3.0,343.14,0
5095,Retail,NA,Starter,4,42,22.6,6.0,20.0,0
5096,Retail,APAC,Growth,22,39,42.3,1.0,515.95,1
5097,Education,EMEA,Starter,6,45,65.4,2.0,30.6,0
5098,Healthcare,LATAM,Starter,4,11,46.5,1.0,20.0,0
5099,SaaS,EMEA,Starter,1,10,33.7,2.0,20.0,1
